open,high,low,close,volume,time
69.453,71.827,67.250,71.117,16597371.3957,2022-01-31 00:00:00
71.124,72.438,70.395,72.222,11394473.7827,2022-02-01 00:00:00
72.223,72.524,68.198,68.811,14398095.6929,2022-02-02 00:00:00
68.858,70.214,67.839,70.191,11935867.6274,2022-02-03 00:00:00
70.195,75.850,69.557,75.501,17993063.9571,2022-02-04 00:00:00
75.558,79.000,74.950,76.787,19894889.2843,2022-02-05 00:00:00
76.788,79.290,76.021,78.800,10309471.1644,2022-02-06 00:00:00
78.801,96.500,77.458,95.583,47648348.4207,2022-02-07 00:00:00
95.582,105.726,92.905,101.311,70451397.5655,2022-02-08 00:00:00
101.311,105.500,97.654,100.755,43410330.2379,2022-02-09 00:00:00
100.757,104.000,95.587,96.000,37864364.1779,2022-02-10 00:00:00
96.003,96.867,86.712,87.701,37401004.7325,2022-02-11 00:00:00
87.744,98.463,86.500,95.017,35789924.2144,2022-02-12 00:00:00
94.997,97.987,91.707,93.193,27951726.4111,2022-02-13 00:00:00
93.193,93.982,90.049,92.629,21292666.7419,2022-02-14 00:00:00
92.727,99.359,92.008,98.485,23372401.9280,2022-02-15 00:00:00
98.509,98.518,93.589,96.704,19212401.4135,2022-02-16 00:00:00
96.703,97.640,86.750,88.404,28256309.8381,2022-02-17 00:00:00
88.414,92.850,87.250,90.551,26262423.9958,2022-02-18 00:00:00
90.528,98.343,88.836,94.772,30938379.9405,2022-02-19 00:00:00
94.771,94.895,88.300,89.565,29455369.5481,2022-02-20 00:00:00
89.565,92.389,80.000,80.615,39461398.6700,2022-02-21 00:00:00
80.614,83.700,77.171,83.074,37881941.8393,2022-02-22 00:00:00
83.074,85.758,79.500,80.170,23621117.0529,2022-02-23 00:00:00
80.154,83.800,71.501,80.500,66549675.1187,2022-02-24 00:00:00
80.516,89.898,78.828,88.797,34540001.2110,2022-02-25 00:00:00
88.800,91.529,85.756,86.841,25474259.3192,2022-02-26 00:00:00
86.755,88.800,81.402,83.591,27531488.2080,2022-02-27 00:00:00
83.591,91.196,82.001,89.875,27922109.5365,2022-02-28 00:00:00
89.849,92.479,87.091,90.142,29206881.2581,2022-03-01 00:00:00
90.143,90.676,87.370,88.948,20833242.3955,2022-03-02 00:00:00
88.877,91.200,85.000,86.924,24125252.6678,2022-03-03 00:00:00
86.935,87.176,80.100,82.082,25534052.1057,2022-03-04 00:00:00
82.058,88.478,81.164,86.690,24420670.2816,2022-03-05 00:00:00
86.690,87.283,82.961,83.374,18507270.8575,2022-03-06 00:00:00
83.386,86.814,81.310,83.208,27735548.0126,2022-03-07 00:00:00
83.206,84.724,82.511,83.509,19568854.0693,2022-03-08 00:00:00
83.431,89.628,83.430,88.796,21159870.6057,2022-03-09 00:00:00
88.796,90.217,83.787,85.574,27881653.3720,2022-03-10 00:00:00
85.559,95.178,84.617,93.934,42051711.9187,2022-03-11 00:00:00
93.935,99.229,91.363,92.365,50199532.7184,2022-03-12 00:00:00
92.332,94.507,88.211,89.434,18254100.3138,2022-03-13 00:00:00
89.490,92.032,87.800,91.744,14935052.5733,2022-03-14 00:00:00
91.711,91.901,87.529,90.599,14036677.2599,2022-03-15 00:00:00
90.600,94.266,89.476,94.009,21697601.6708,2022-03-16 00:00:00
94.037,95.145,92.800,94.114,12785772.8717,2022-03-17 00:00:00
94.185,95.300,92.700,95.069,12921682.8509,2022-03-18 00:00:00
95.002,98.618,94.455,97.802,20193624.2689,2022-03-19 00:00:00
97.802,98.086,94.822,96.270,15610104.5536,2022-03-20 00:00:00
96.262,102.112,94.203,100.145,26409179.6702,2022-03-21 00:00:00
100.123,103.962,100.008,101.539,19325416.1736,2022-03-22 00:00:00
101.493,102.539,99.201,101.512,14616481.7197,2022-03-23 00:00:00
101.516,103.900,100.388,103.091,17043205.6892,2022-03-24 00:00:00
103.131,103.193,100.102,100.760,13240749.5195,2022-03-25 00:00:00
100.760,102.000,100.357,101.693,6252911.4757,2022-03-26 00:00:00
101.678,104.866,101.159,104.832,11496593.8314,2022-03-27 00:00:00
104.821,112.333,104.313,106.779,40900998.4427,2022-03-28 00:00:00
106.727,109.500,103.500,105.648,22667689.5126,2022-03-29 00:00:00
105.648,106.186,103.611,105.015,14504098.8408,2022-03-30 00:00:00
105.069,106.400,96.000,99.411,27564970.7248,2022-03-31 00:00:00
99.337,102.500,99.021,101.455,12645753.1858,2022-04-01 00:00:00
101.455,104.182,100.400,101.050,9536860.8262,2022-04-02 00:00:00
101.049,104.375,100.000,103.293,7539219.1007,2022-04-03 00:00:00
103.321,103.330,99.080,101.578,11139623.5470,2022-04-04 00:00:00
101.564,103.433,100.684,101.097,7713400.1839,2022-04-05 00:00:00
101.069,101.469,93.950,94.148,22067592.8498,2022-04-06 00:00:00
94.158,98.193,93.290,97.806,9724962.1151,2022-04-07 00:00:00
97.749,98.457,93.004,94.034,10251493.1104,2022-04-08 00:00:00
94.013,95.470,93.850,94.987,5129360.6780,2022-04-09 00:00:00
94.941,96.072,93.671,93.887,6676632.6689,2022-04-10 00:00:00
93.875,94.016,85.561,87.363,20189496.7406,2022-04-11 00:00:00
87.362,91.151,86.915,89.747,14016058.2656,2022-04-12 00:00:00
89.776,91.283,88.453,90.759,11597961.5061,2022-04-13 00:00:00
90.798,92.889,89.380,91.785,11439730.2403,2022-04-14 00:00:00
91.781,100.680,91.703,99.422,25972282.5106,2022-04-15 00:00:00
99.452,101.181,97.107,98.868,12645939.7036,2022-04-16 00:00:00
98.869,99.458,94.920,95.443,9606554.4201,2022-04-17 00:00:00
95.443,97.781,92.169,97.781,15190459.5044,2022-04-18 00:00:00
97.781,100.580,97.491,100.110,10386306.5979,2022-04-19 00:00:00
100.112,100.112,95.021,96.400,14554160.9934,2022-04-20 00:00:00
96.401,98.813,92.521,94.304,14082310.8357,2022-04-21 00:00:00
94.305,95.000,92.000,92.328,13481961.4067,2022-04-22 00:00:00
92.354,93.458,90.500,90.881,8299372.6455,2022-04-23 00:00:00
90.881,91.606,89.502,89.976,8913287.3704,2022-04-24 00:00:00
89.976,90.153,83.146,88.696,29462641.7092,2022-04-25 00:00:00
88.718,89.756,80.200,82.017,23067630.9734,2022-04-26 00:00:00
81.957,85.055,81.321,83.911,19001161.7329,2022-04-27 00:00:00
83.911,86.276,83.065,84.232,24663707.7436,2022-04-28 00:00:00
84.232,84.568,78.023,79.614,27434867.2955,2022-04-29 00:00:00
79.614,81.650,75.000,76.287,17431690.9743,2022-04-30 00:00:00
